_id,jobid,position,location,company,remote,status,description,joburl,category,subcategory,tags
283,2a51c7f8-e3fb-4ca4-9cc8-3c045217695e,Full-Stack Engineer,LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/2a51c7f8-e3fb-4ca4-9cc8-3c045217695e,Engineering,na ,tags
284,27355f79-3421-4cce-9fa1-e0840d208548,Incident Response Manager,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/27355f79-3421-4cce-9fa1-e0840d208548,Manager,na ,tags
285,4b01d1c1-a811-462f-bdf9-24572fe5a054,Quality Engineer,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/4b01d1c1-a811-462f-bdf9-24572fe5a054,Engineering,na ,tags
286,517427cd-1522-40fd-bdc9-c15642c13f4f,Senior Cloud Engineer,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/517427cd-1522-40fd-bdc9-c15642c13f4f,Engineering,na ,tags
287,189af387-ffda-43f6-98b2-915b16c0e6fb,Senior Data Engineer,Remote,na,True,True,na,https://jobs.lever.co/amount/189af387-ffda-43f6-98b2-915b16c0e6fb,Engineering,Data,tags
288,b77bf7b6-9777-48ff-bf3a-4ff773f9e998,Senior Full-Stack Engineer,Remote,na,True,True,na,https://jobs.lever.co/amount/b77bf7b6-9777-48ff-bf3a-4ff773f9e998,Engineering,na ,tags
289,093660be-2b36-437c-9f21-8a0a4759346d,Senior Full-Stack Engineer,LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/093660be-2b36-437c-9f21-8a0a4759346d,Engineering,na ,tags
290,45d7e462-4bee-421f-b1a4-74701919de0a,Senior UI/UX React Developer,Remote,na,True,True,na,https://jobs.lever.co/amount/45d7e462-4bee-421f-b1a4-74701919de0a,Developer,Developer,tags
291,6b8baa99-6c8f-4c39-8150-3f1259dd449e,Site Reliability Engineer,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/6b8baa99-6c8f-4c39-8150-3f1259dd449e,Engineering,Site,tags
292,b6c89eac-1c76-4afb-a1f5-1648731e1a44,Software Developer in Test,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/b6c89eac-1c76-4afb-a1f5-1648731e1a44,Developer,Software,tags
293,e3f05768-4bf9-42e4-93ed-28e69fae08a4,Senior Front End Software Engineer,Chicago / US Remote,na,True,True,na,https://jobs.lever.co/amount/e3f05768-4bf9-42e4-93ed-28e69fae08a4,Engineering,Software,tags
294,b56e5339-fbf7-4e62-80e7-1caede8f9a5c,Senior Software Engineer,Chicago / US Remote,na,True,True,na,https://jobs.lever.co/amount/b56e5339-fbf7-4e62-80e7-1caede8f9a5c,Engineering,Software,tags
295,58678f8d-4c0f-4a8b-a176-fea271afa5a4,Software Engineering Manager,Chicago / US Remote,na,True,True,na,https://jobs.lever.co/amount/58678f8d-4c0f-4a8b-a176-fea271afa5a4,Engineering,Software,tags
296,671abe4f-d49f-4092-9b01-befd1a5a89f7,Implementation Specialist,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/671abe4f-d49f-4092-9b01-befd1a5a89f7,Operations – Implementations,Operations,tags
297,4178928a-972a-4f44-9dba-9c7feb6a38ba,Project Manager - Sales Team,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/4178928a-972a-4f44-9dba-9c7feb6a38ba,Manager,Operations,tags
298,56f0a75c-6f79-4b69-a2c5-a2466283dbcd,Fraud Operations Coordinator,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/56f0a75c-6f79-4b69-a2c5-a2466283dbcd,Coordinator,Operations,tags
299,a7a00dac-d80f-4034-a975-d8dfd88a4e41,Product Manager - Product Success,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/a7a00dac-d80f-4034-a975-d8dfd88a4e41,Manager,Operations,tags
300,26085db7-8d82-4dad-951e-3420c09a573f,Senior Product Analyst - Product Success,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/26085db7-8d82-4dad-951e-3420c09a573f,Operations – Product Success,Operations,tags
301,d891457f-6780-48c9-9e25-fc3f2dd77df2,Senior Product Support Analyst,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/d891457f-6780-48c9-9e25-fc3f2dd77df2,Operations – Product Success,Operations,tags
302,368f06f5-c050-4dda-8419-c19719445b63,Product Manager - Infrastructure & Engineering Services,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/368f06f5-c050-4dda-8419-c19719445b63,Engineering,Infrastructure,tags
303,5a932097-0c10-4f05-8461-2f097bf8b1e6,Junior Product Manager,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/5a932097-0c10-4f05-8461-2f097bf8b1e6,Manager,Product,tags
304,b469d587-43f7-47d8-8c5c-b6c313550758,Product Design Director,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/b469d587-43f7-47d8-8c5c-b6c313550758,Director,Product,tags
305,1e053c56-ae15-4d48-97f9-6e883ff8288c,Scrum Master,Chicago / LA,na,False,True,na,https://jobs.lever.co/amount/1e053c56-ae15-4d48-97f9-6e883ff8288c,Product – Product Strategy,Product,tags
